"participant","lfdn","external_lfdn","tester","dispcode","lastpage","quality","duration","c_0001","c_0002","consent","gender","age","normQ","Nrm_el","v_193","v_194","v_203","v_195","v_196","v_204","v_197","v_198","v_205","InJu1","v_206","v_207","v_208","v_209","v_210","v_211","v_212","v_213","v_214","Int_Rsn","hrm_st","nrm_st","v_224","v_225","v_226","v_227","v_228","v_229","v_230","v_231","v_232","InCf1","InRem1","InSWr1","InAR1","InRem2","InSWr2","InAR2","InRem3","InSWr3","InAR3","InCS","InStR","string_coded","critical_slide_wrong","Dumb_incl_string","v_215","v_216","v_217","v_218","v_219","v_220","v_221","v_222","v_223","InJu2","v_233","v_234","v_235","v_236","v_237","v_238","v_239","v_240","v_241","InChM","InCf2","Hrm_rel","Hrm_oth","hrm_Qs","InIrr","InCu","InRsn2","InGut","pot_hrm","box","rugb","v_296","v_306","v_307","v_297","v_298","v_299","v_300","v_301","v_302","v_303","v_304","v_305","v_181","NFC1","NFC2","NFC3","NFC4","NFC5","NFC6","NFC7","NFC8","NFC9","NFC10","NFC11","NFC12","NFC13","NFC14","NFC15","NFC16","NFC17","NFC18","ethics","ethStR","Prv_in","Prv_in_S","quota","quota_assignment","page_history","hflip","vflip","output_mode","javascript","flash","session_id","language","cleaned","ats","datetime","Ds_time","condition","cog_load_test","cog_load_inju","cog_load_Rs","cog_load_CS","cog_load_reju","cog_load_CS_num","cog_load_mch_num","cogload_num","Ju1_bin","Ju2_bin","wrong1","wrong2","NFC3R","NFC4R","NFC5R","NFC7R","NFC8R","NFC9R","NFC12R","NFC16R","NFC17R","NFC_tot","NFC","pot_hrm_bin","all_harm","all_harm_norm","nrm_all","Roz_fully_C","j1","j2","j3","j4","j5","j6","ch1","ch2","ch3","ch4","ch5","Rch1","Rch2","Rs_changed","Rs_changed_tot","changed","changed_tot","rs1","rs2","rs3","rs4","rs5","rs6","rs1_bin","rs2_bin","rs3_bin","reason_always","cog_Mch_num","Dumb_response","engaged","right_change","wrong1b","wrong2b"
81,32,0,"no tester","Completed (31)","2273578                     ",NA,672,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Female",22,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",1,"quoted","quoted","not quoted","not quoted","not quoted","not quoted","quoted","not quoted","quoted","Incest is beyond disgusting.                                                                                                                                                                                                                                  ","no harm mentioned","norms not mentioned","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted",7,"Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","No","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","It would absolutely effect someone. What if one of them confessed it to a future partner? If my partner told me something like I would be absolutely horrified.                                                                                               ","reason",NA,"It's wrong and I can provide a valid reason.","quoted","quoted","not quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",1,"not quoted","not quoted","quoted","not quoted","quoted","not quoted","quoted","not quoted","not quoted","1: Not at all",7,"No, I am not able to believe this","No, I am not able to believe this","harm","7: Extremely Irritated","1: Not at all",7,"7: Extremely",4,"No","No","France","philosopher, mathematician and scientist","1641","not quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","quoted","not quoted","Difficult",7,7,2,2,2,8,3,2,2,8,8,2,7,9,8,3,3,8,"Yes","19th century philosophy class                                                                                                                                                                                                                                 ","yes"," The incest taboo                                                                                                                                                                                                                                             ",0,"-99                                                                                                                                                                                                                                                           ","2273510,2273511,2273512,2273513,2273514,2273515,2273516,2273518,2273519,2273520,2273521,2273522,2273523,2273524,2273525,2273526,2273527,2273528,2273529,2273530,2273531,2273532,2273533,2273534,2273535,2273536,2273537,2273538,2273539,2273540,2273541,227354","Not flipped","Not flipped","HTML",NA,NA,"8792b309a0cba10e51b53fc128f1605b                                                                                                ","English","Not cleaned",1496761268,"2017-06-06 15:01:08           ",22,"cog_load",TRUE,FALSE,TRUE,FALSE,FALSE,7,3,1,"wrong","wrong","wrong","wrong",8,8,8,7,8,8,8,7,7,139,2.72222222222222,"neutral","true","true","true","false","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,3,"reasons",TRUE,"reasons","wrong","wrong"
82,3,0,"no tester","Completed (31)","2273578                     ",NA,588,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Female",58,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","Moral norms should be followed in all situations. It doesn't matter whether or not someone is harmed.                                                                                                                                                         ","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",1,"not quoted","not quoted","quoted","not quoted","quoted","not quoted","quoted","quoted","not quoted","Incest is morally wrong.                                                                                                                                                                                                                                      ","no harm mentioned","norms mentioned","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted",7,"No","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","It is incest. Incest is wrong.                                                                                                                                                                                                                                ","unsupported declaration + tautological reason","changed","It's wrong but I can't think of a reason.","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",1,"not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","1: Not at all",7,"No, I am not able to believe this","No, I am not able to believe this","harm","6","2",6,"6",1,"Yes","Yes","France","philosopher, mathematician and scientist","1641","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted","not quoted","Difficult",7,8,2,3,3,8,2,2,2,8,8,3,8,9,7,2,2,8,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-99                                                                                                                                                                                                                                                           ","2273510,2273511,2273512,2273513,2273514,2273515,2273516,2273517,2273518,2273519,2273520,2273521,2273522,2273523,2273524,2273525,2273526,2273527,2273528,2273529,2273530,2273531,2273532,2273533,2273534,2273535,2273536,2273537,2273538,2273539,2273540,227354","Flipped","Not flipped","HTML",NA,NA,"702abedb06b7c8e39fbd66b05cbd6b90                                                                                                ","English","Not cleaned",1496749113,"2017-06-06 11:38:33           ",49,"cog_load",TRUE,FALSE,TRUE,TRUE,TRUE,9,6,3,"wrong","wrong","wrong","wrong",8,7,7,8,8,8,7,8,8,140,2.77777777777778,"wrong","false","false","false","false","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,3,"unsupported declaration",TRUE,"reasons","wrong","wrong"
83,44,0,"no tester","Completed (31)","2273578                     ",NA,379,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Female",29,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",1,"quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted","not quoted","It is morally wrong to have sex with your sibling                                                                                                                                                                                                             ","no harm mentioned","norms mentioned","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted","not quoted",7,"No","Yes","Yes, I have a reason","No","Yes","Yes, I have a reason","No","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","It is just.. gross. There is no need for a reason other than that.                                                                                                                                                                                            ","unsupported declaration + statement without reason","changed","It's wrong but I can't think of a reason.","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",1,"not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","1: Not at all",7,"No, I am not able to believe this","No, I am not able to believe this","harm","6","1: Not at all",7,"6",2,"No","No","France","philosopher mathematician and alchemist","1673","quoted","quoted","not quoted","quoted","not quoted","quoted","not quoted","not quoted","not quoted","Easy",5,4,5,4,6,6,4,5,4,5,5,4,6,5,5,4,6,5,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-99                                                                                                                                                                                                                                                           ","2273510,2273511,2273512,2273513,2273514,2273515,2273516,2273518,2273519,2273520,2273521,2273522,2273523,2273524,2273525,2273526,2273527,2273528,2273529,2273530,2273531,2273532,2273533,2273534,2273535,2273536,2273537,2273538,2273539,2273540,2273541,227354","Not flipped","Not flipped","HTML",NA,NA,"8a4b181f6dcf5a8338c29e425770e5cf                                                                                                ","English","Not cleaned",1496763579,"2017-06-06 15:39:39           ",8,"cog_load",TRUE,TRUE,FALSE,TRUE,TRUE,9,8,3,"wrong","wrong","wrong","wrong",5,6,4,6,5,6,6,6,4,94,0.222222222222222,"wrong","true","true","true","false","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,5,"unsupported declaration",TRUE,"reasons","wrong","wrong"
84,1,0,"no tester","Completed (31)","2273578                     ",NA,996,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Female",43,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","Generally, Moral norms are a set of guidelines established as a child and stick with you through adulthood.  Proper parenting instills values that stick with you and you can tell if it is acceptable to participate in an activity. If it goes against your ","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",1,"not quoted","quoted","not quoted","not quoted","quoted","quoted","quoted","not quoted","not quoted","It is not o.k. to sleep with any member of your family. Let alone a sibling. My religious beliefs  would have these two  in deep doo do                                                                                                                       ","no harm mentioned","norms mentioned","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted",7,"No","Yes","Yes, I have a reason","No","Yes","Yes, I have a reason","No","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","In the moment there  may  appear  to be nothing wrong and it didn't hurt anyone however, years from now if they have a concious they both will regret this choice. They have hurt their family already and they have unknowingly hurt themselves emotionally .","reason",NA,"It's wrong and I can provide a valid reason.","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",1,"not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","1: Not at all",7,"No, I am not able to believe this","No, I am not able to believe this","harm","7: Extremely Irritated","1: Not at all",5,"7: Extremely",2,"Yes","No","France","philosopher, alchemist and scientist","1667","quoted","quoted","not quoted","not quoted","not quoted","quoted","not quoted","quoted","not quoted","Extremely difficult",5,6,3,3,4,5,2,6,5,6,6,2,5,6,5,4,4,7,"Yes","My junior college the requirement was to take Ethics course mentioned above.                                                                                                                                                                                  ","no","-99                                                                                                                                                                                                                                                           ",0,"-99                                                                                                                                                                                                                                                           ","2273510,2273511,2273512,2273513,2273514,2273515,2273516,2273517,2273518,2273519,2273520,2273521,2273522,2273523,2273524,2273525,2273526,2273527,2273528,2273529,2273530,2273531,2273532,2273533,2273534,2273535,2273536,2273537,2273538,2273539,2273540,227354","Flipped","Flipped","HTML",NA,NA,"4c0f4362ee4533ddd304eb51f941b69b                                                                                                ","English","Not cleaned",1496749061,"2017-06-06 11:37:41           ",63,"cog_load",TRUE,FALSE,TRUE,TRUE,TRUE,9,6,3,"wrong","wrong","wrong","wrong",7,7,6,8,4,5,8,6,6,108,1,"wrong","true","false","false","false","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,1,"reasons",TRUE,"reasons","wrong","wrong"
86,33,0,"no tester","Completed (31)","2273578                     ",NA,771,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Female",27,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","While there can be exceptions, I believe this to be true. For example, stealing. I think stealing in inherently wrong, even if no one else is harmed as a result. Just because harm does not occur does not make stealing a morally acceptable choice.        ","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",2,"quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted","not quoted","Morally, I do not agree with this behavior. Their actions could have serious implications.                                                                                                                                                                    ","harm mentioned","norms not mentioned","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted",5,"Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","No","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","There is no way to know that their actions will not affect others - or themselves and their relationship - in the future.                                                                                                                                     ","reason",NA,"It's wrong and I can provide a valid reason.","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",2,"not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","3",5,"No, I am not able to believe this","No, I am not able to believe this","harm","6","3",6,"3",3,"No","No","France","philosopher, alchemist and scientist","1641","quoted","quoted","not quoted","quoted","not quoted","not quoted","not quoted","not quoted","quoted","Difficult",8,7,2,2,2,7,2,2,2,8,8,1,7,7,8,8,2,7,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-99                                                                                                                                                                                                                                                           ","2273510,2273511,2273512,2273513,2273514,2273515,2273516,2273517,2273518,2273519,2273520,2273521,2273522,2273523,2273524,2273525,2273526,2273527,2273528,2273529,2273530,2273531,2273532,2273533,2273534,2273535,2273536,2273537,2273538,2273539,2273540,227354","Flipped","Not flipped","HTML",NA,NA,"2a6c54a449ea89eb3e5da204d7d9bd19                                                                                                ","English","Not cleaned",1496761271,"2017-06-06 15:01:11           ",38,"cog_load",TRUE,TRUE,TRUE,TRUE,TRUE,9,6,4,"wrong","wrong","wrong","wrong",8,8,8,8,8,8,9,2,8,134,2.44444444444444,"wrong","true","true","true","false","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,3,"reasons",TRUE,"reasons","wrong","wrong"
87,39,0,"no tester","Completed (31)","2273578                     ",NA,609,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Male",38,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",1,"quoted","not quoted","not quoted","not quoted","not quoted","quoted","quoted","quoted","not quoted","There's a bond between families that should not be violated by being intimate.                                                                                                                                                                                ","no harm mentioned","norms mentioned","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted",7,"No","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","As stated before, there is a bond that should not be broken by being intimate.                                                                                                                                                                                ","statement without reason",NA,"It's wrong and I can provide a valid reason.","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",1,"not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","1: Not at all",7,"No, I am not able to believe this","No, I am not able to believe this","harm","4: neutral","1: Not at all",7,"7: Extremely",4,"No","No","France","philosopher mathematician and alchemist","1627","quoted","quoted","not quoted","quoted","not quoted","quoted","not quoted","not quoted","not quoted","neither difficult nor easy",5,5,5,5,4,5,5,6,5,4,5,5,5,5,4,5,6,5,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-99                                                                                                                                                                                                                                                           ","2273510,2273511,2273512,2273513,2273514,2273515,2273516,2273518,2273519,2273520,2273521,2273522,2273523,2273524,2273525,2273526,2273527,2273528,2273529,2273530,2273531,2273532,2273533,2273534,2273535,2273536,2273537,2273538,2273539,2273540,2273541,227354","Flipped","Not flipped","HTML",NA,NA,"9028e6b65263081af071771e25420cf0                                                                                                ","English","Not cleaned",1496761430,"2017-06-06 15:03:50           ",20,"cog_load",TRUE,FALSE,TRUE,TRUE,TRUE,9,8,3,"wrong","wrong","wrong","wrong",5,5,6,5,4,5,5,5,4,87,-0.166666666666667,"neutral","true","true","true","false","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,4,"reasons",TRUE,"reasons","wrong","wrong"
88,22,0,"no tester","Completed (31)","2273578                     ",NA,441,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Male",35,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",1,"quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted","not quoted","They are brother and sister. This is morally wrong because they are blood-related.                                                                                                                                                                            ","no harm mentioned","norms mentioned","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted",6,"Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","They are blood-related. It is morally wrong to have relations with family. There are long-term problems that will arise.                                                                                                                                      ","reason",NA,"It's wrong and I can provide a valid reason.","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","not quoted","not quoted",1,"not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","1: Not at all",6,"No, I am not able to believe this","No, I am not able to believe this","harm","4: neutral","1: Not at all",5,"4: neutral",3,"No","No","France","philosopher, mathematician and scientist","1637","quoted","quoted","not quoted","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","Difficult",4,4,6,6,6,4,6,6,6,4,4,6,4,4,4,6,5,2,"Yes","Just one course in college in bioethics.                                                                                                                                                                                                                      ","no","-99                                                                                                                                                                                                                                                           ",0,"-99                                                                                                                                                                                                                                                           ","2273510,2273511,2273512,2273513,2273514,2273515,2273516,2273518,2273519,2273520,2273521,2273522,2273523,2273524,2273525,2273526,2273527,2273528,2273529,2273530,2273531,2273532,2273533,2273534,2273535,2273536,2273537,2273538,2273539,2273540,2273541,227354","Flipped","Flipped","HTML",NA,NA,"79ded4a6177b4c784164efb5d8933d1d                                                                                                ","English","Not cleaned",1496751193,"2017-06-06 12:13:13           ",14,"cog_load",TRUE,TRUE,TRUE,FALSE,TRUE,8,7,3,"wrong","wrong","wrong","wrong",4,4,4,4,4,4,4,4,5,71,-1.05555555555556,"wrong","true","true","true","false","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,3,"reasons",TRUE,"reasons","wrong","wrong"
89,34,0,"no tester","Completed (31)","2273578                     ",NA,1428,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Male",45,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","Moral standards should be adhered to at all times.I think it would be a deviant act to act immoral for fun or enjoyment.Engaging in immoral acts should not bring enjoyment and lead to other questionable behavior                                           ","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",1,"quoted","not quoted","not quoted","not quoted","not quoted","quoted","quoted","quoted","not quoted","To engage in incest is morally wrong and something is wrong with this couples mind set to even consider such an act.                                                                                                                                          ","no harm mentioned","norms mentioned","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted",7,"Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","A brother and sister should experience a different kind of love between them.To engage in this kind of behavior is not natural and could lead to emotional problems such as guilt or jealousy.                                                                ","statement without reason",NA,"It's wrong and I can provide a valid reason.","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",1,"not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","1: Not at all",7,"No, I am not able to believe this","No, I am not able to believe this","harm","7: Extremely Irritated","6",5,"7: Extremely",3,"No","No","France","philosopher, mathematician and scientist","1637","not quoted","not quoted","quoted","not quoted","quoted","not quoted","quoted","quoted","not quoted","Very difficult",8,8,2,2,2,8,2,3,3,8,7,2,6,8,7,3,3,8,"No","-99                                                                                                                                                                                                                                                           ","yes","I have completed a survey about a brother and sister engaging in such an act                                                                                                                                                                                  ",0,"-99                                                                                                                                                                                                                                                           ","2273510,2273511,2273512,2273513,2273514,2273515,2273516,2273517,2273518,2273519,2273520,2273521,2273522,2273523,2273524,2273525,2273526,2273527,2273528,2273529,2273530,2273531,2273532,2273533,2273534,2273535,2273536,2273537,2273538,2273539,2273540,227354","Not flipped","Not flipped","HTML",NA,NA,"7b33e7a9287fa9b5c75989c64f602a2d                                                                                                ","English","Not cleaned",1496761282,"2017-06-06 15:01:22           ",49,"cog_load",TRUE,FALSE,FALSE,TRUE,TRUE,9,2,2,"wrong","wrong","wrong","wrong",8,8,8,8,7,7,8,7,7,136,2.55555555555556,"wrong","true","false","false","false","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,2,"reasons",TRUE,"reasons","wrong","wrong"
92,41,0,"no tester","Completed (31)","2273578                     ",NA,1183,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Female",50,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","Wrong is wrong.  There is no reason to make a wrong a right.                                                                                                                                                                                                  ","not quoted","not quoted","quoted","not quoted","quoted","not quoted","quoted","not quoted","not quoted",1,"quoted","quoted","not quoted","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","having sex with a family member is WRONG and illegal.                                                                                                                                                                                                         ","no harm mentioned","norms mentioned","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted",7,"No","Yes","Yes, I have a reason","No","Yes","Yes, I have a reason","No","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","It is sin and wrong.  There is not way to make it right.                                                                                                                                                                                                      ","reason",NA,"It's wrong and I can provide a valid reason.","not quoted","quoted","quoted","not quoted","quoted","not quoted","quoted","not quoted","not quoted",1,"not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","1: Not at all",7,"No, I am not able to believe this","No, I am not able to believe this","harm","7: Extremely Irritated","1: Not at all",7,"7: Extremely",1,"No","No","Luxembourg","philosopher, alchemist and scientist","1641","not quoted","not quoted","not quoted","not quoted","quoted","quoted","quoted","quoted","not quoted","Difficult",1,2,7,8,6,1,5,7,8,4,1,1,1,1,1,9,8,1,"No","-99                                                                                                                                                                                                                                                           ","yes","I seem to remember this story in another hit for Turk                                                                                                                                                                                                         ",0,"-99                                                                                                                                                                                                                                                           ","2273510,2273511,2273512,2273513,2273514,2273515,2273516,2273517,2273518,2273519,2273520,2273521,2273522,2273523,2273524,2273525,2273526,2273527,2273528,2273529,2273530,2273531,2273532,2273533,2273534,2273535,2273536,2273537,2273538,2273539,2273540,227354","Not flipped","Not flipped","HTML",NA,NA,"4eae80b77a91c7368434a745ca68509b                                                                                                ","English","Not cleaned",1496761614,"2017-06-06 15:06:54           ",39,"cog_load",FALSE,FALSE,TRUE,FALSE,TRUE,7,2,2,"wrong","wrong","wrong","wrong",3,2,4,5,3,2,9,1,2,44,-2.55555555555556,"wrong","true","false","false","false","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,3,"reasons",TRUE,"reasons","wrong","wrong"
93,18,0,"no tester","Completed (31)","2273578                     ",NA,1036,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Female",64,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","if something is wrong then you shouldnt do it whether or not someone is harmed. God's laws especially should be obeyed.                                                                                                                                       ","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",1,"not quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted","not quoted","it is always morally wrongto sleep with your blood relative. no exceptions. if its immoral, dont do it.                                                                                                                                                       ","no harm mentioned","norms mentioned","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted",6,"Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","God has given us clear laws on how to live. He is the creator and knows what is best. there are absolutes in wrong and right. we dont live according to how we are feeling at the moment.                                                                     ","reason",NA,"It's wrong and I can provide a valid reason.","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",1,"not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","1: Not at all",6,"No, I am not able to believe this","No, I am not able to believe this","harm","5","1: Not at all",4,"1: Not at all",2,"Yes","No","France","philosopher, mathematician and scientist","1637","quoted","not quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted","not quoted","neither difficult nor easy",3,3,3,5,3,3,3,7,5,7,7,3,3,5,3,3,7,3,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-99                                                                                                                                                                                                                                                           ","2273510,2273511,2273512,2273513,2273514,2273515,2273516,2273517,2273518,2273519,2273520,2273521,2273522,2273523,2273524,2273525,2273526,2273527,2273528,2273529,2273530,2273531,2273532,2273533,2273534,2273535,2273536,2273537,2273538,2273539,2273540,227354","Not flipped","Not flipped","HTML",NA,NA,"7414e64ee406246c5c319b74d05d4349                                                                                                ","English","Not cleaned",1496750432,"2017-06-06 12:00:32           ",27,"cog_load",TRUE,FALSE,TRUE,TRUE,TRUE,9,5,3,"wrong","wrong","wrong","wrong",7,5,7,7,3,5,7,7,3,88,-0.111111111111111,"wrong","true","false","false","false","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,4,"reasons",TRUE,"reasons","wrong","wrong"
