"participant","lfdn","external_lfdn","tester","dispcode","lastpage","quality","duration","c_0001","c_0002","consent","gender","age","normQ","Nrm_el","v_193","v_194","v_203","v_195","v_196","v_204","v_197","v_198","v_205","InJu1","v_206","v_207","v_208","v_209","v_210","v_211","v_212","v_213","v_214","Int_Rsn","hrm_st","nrm_st","v_224","v_225","v_226","v_227","v_228","v_229","v_230","v_231","v_232","InCf1","InRem1","InSWr1","InAR1","InRem2","InSWr2","InAR2","InRem3","InSWr3","InAR3","InCS","InStR","string_coded","critical_slide_wrong","Dumb_incl_string","v_215","v_216","v_217","v_218","v_219","v_220","v_221","v_222","v_223","InJu2","v_233","v_234","v_235","v_236","v_237","v_238","v_239","v_240","v_241","InChM","InCf2","v_181","Hrm_rel","Hrm_oth","hrm_Qs","InIrr","InCu","InRsn2","InGut","pot_hrm","box","rugb","NFC1","NFC2","NFC3","NFC4","NFC5","NFC6","NFC7","NFC8","NFC9","NFC10","NFC11","NFC12","NFC13","NFC14","NFC15","NFC16","NFC17","NFC18","ethics","ethStR","Prv_in","Prv_in_S","quota","quota_assignment","page_history","hflip","vflip","output_mode","javascript","flash","session_id","language","cleaned","ats","datetime","date_of_last_access","date_of_first_mail","condition","cog_load_test","cog_load_inju","cog_load_Rs","cog_load_CS","cog_load_reju","cog_load_CS_num","cogload_num","Ju1_bin","Ju2_bin","wrong1","wrong2","NFC3R","NFC4R","NFC5R","NFC7R","NFC8R","NFC9R","NFC12R","NFC16R","NFC17R","NFC_tot","NFC","pot_hrm_bin","all_harm","all_harm_norm","nrm_all","Roz_fully_C","j1","j2","j3","j4","j5","j6","ch1","ch2","ch3","ch4","ch5","Rch1","Rch2","Rs_changed","Rs_changed_tot","changed","changed_tot","rs1","rs2","rs3","rs4","rs5","rs6","rs1_bin","rs2_bin","rs3_bin","reason_always","cog_Mch_num","Dumb_response","engaged","right_change","wrong1b","wrong2b"
94,22,0,"no tester","Completed (31)","2270905                     ",NA,1062,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Female",56,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","You may be harming someone and not know it. For example, the tenant who lives below me likes to pee outside in the yard. He probably thinks no one is harmed by this. I am outraged when I see it out my window. My landlady threatened me I would have to mov","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",1,"quoted","quoted","not quoted","not quoted","not quoted","not quoted","quoted","not quoted","quoted","disgusting- they are siblings and it is morally wrong                                                                                                                                                                                                         ","no harm mentioned","norms mentioned","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted",7,"Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","No","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","Let's say- people do have an afterlife, and just like on the medium tv shows, they know what is going on in your life, so now your poor departed grandma is literally rolling in her grave because she knows you are acting like 2 animals.                   ","reason",NA,"It's wrong and I can provide a valid reason.","quoted","quoted","not quoted","not quoted","not quoted","not quoted","quoted","not quoted","quoted",1,"not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","1: Not at all",7,"Difficult","No, I am not able to believe this","No, I am not able to believe this","harm","7: Extremely Irritated","1: Not at all",7,"7: Extremely",3,"Yes","Yes",1,1,7,9,4,1,8,9,9,1,1,9,1,1,1,9,9,3,"Yes","I have been working on mturk for 6 years and done over 200,000 surveys, so I have done a lot that asked about ethics or morals.                                                                                                                               ","no","-99                                                                                                                                                                                                                                                           ",0,"-99                                                                                                                                                                                                                                                           ","2270842,2270843,2270844,2270845,2270846,2270847,2270848,2270849,2270850,2270851,2270852,2270853,2270854,2270855,2270856,2270857,2270858,2270859,2270860,2270861,2270862,2270863,2270864,2270865,2270866,2270867,2270868,2270869,2270870,2270871,2270872,227087","Flipped","Flipped","HTML",NA,NA,"51543065932bac16319c02eb52a3a854                                                                                                ","English","Not cleaned",1496623232,"2017-06-05 00:40:32           ","2017-06-05 00:58:14           ","0000-00-00 00:00:00           ","cog_load",TRUE,FALSE,TRUE,FALSE,TRUE,5,2,"wrong","wrong","wrong","wrong",3,1,6,2,1,1,1,1,1,28,-3.44444444444444,"wrong","false","false","false","false","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,3,"reasons",FALSE,"reasons","wrong","wrong"
95,56,0,"no tester","Suspended (22)","2270904                     ",NA,2092,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Female",54,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","If individuals go around violating moral norms, for no justifiable reason or strong disagreement, the world would be in chaos.  Moral norms and rules are essential to keep society intact and safe.  Sometimes moral norms become obsolete and antiquate, the","not quoted","not quoted","quoted","not quoted","quoted","not quoted","quoted","not quoted","not quoted",1,"not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","not quoted","not quoted","Moral norms are basically created to keep us safe and keep order in society.  Moral norms are not always fair but society can advocate for change.  For instance, a brother and sibling having sex can lead to pregnancy and the birth of children with birth ","harm mentioned","norms mentioned","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted",6,"Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","No","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","Perhaps I am not looking at the scenario as a single incident, but more in terms of what would happen if everyone in society decide to break the moral norms. I don't believe that it will be the only time, especially since they enjoyed it.  And what is to","reason",NA,"It's wrong and I can provide a valid reason.","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",1,"not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","1: Not at all",6,"neither difficult nor easy","No, I am not able to believe this","No, I am not able to believe this","harm","6","5",7,"7: Extremely",1,"Yes","No",8,7,1,2,1,3,1,2,2,8,9,1,7,9,9,1,1,8,"Yes","I have taken a number of courses on Ethics.  In my opinion, one of the key concepts of Ethics is that an individual must behave in an Ethical manner even when nobody is watching, and even when they think nobody will get hurt.                             ","yes","I work with sexually abused children. Sometimes abused children will prey on their own siblings and relatives.                                                                                                                                                ",0,"-99                                                                                                                                                                                                                                                           ","2270842,2270843,2270844,2270845,2270846,2270847,2270848,2270849,2270850,2270851,2270852,2270853,2270854,2270855,2270856,2270857,2270858,2270859,2270860,2270861,2270862,2270863,2270864,2270865,2270866,2270867,2270868,2270869,2270870,2270871,2270872,227087","Flipped","Flipped","HTML",NA,NA,"ff2b72e0174b0e2c4d38ccebfb1d3fde                                                                                                ","English","Not cleaned",1496660912,"2017-06-05 11:08:32           ","2017-06-05 11:44:08           ","0000-00-00 00:00:00           ","cog_load",FALSE,FALSE,TRUE,TRUE,TRUE,9,3,"wrong","wrong","wrong","wrong",9,8,9,9,8,8,9,9,9,146,3.11111111111111,"wrong","true","false","false","false","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,4,"reasons",TRUE,"reasons","wrong","wrong"
96,53,0,"no tester","Suspended (22)","2270904                     ",NA,607,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Female",53,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","Morals are the guidelines for society and should never be violated.  It is never acceptable to do something just because you want to.                                                                                                                         ","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",1,"quoted","quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted","That is disgusting.  Sex should be between husband and wife.  Sex should never happen between relatives.                                                                                                                                                      ","no harm mentioned","norms mentioned","quoted","quoted","not quoted","not quoted","not quoted","quoted","not quoted","not quoted","not quoted",7,"No","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","No","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","Sex in between a husband and wife within the context of marriage.  It should never be between relatives.                                                                                                                                                      ","reason",NA,"It's wrong and I can provide a valid reason.","quoted","quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted","quoted",1,"not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted","1: Not at all",7,"Difficult","No, I am not able to believe this","No, I am not able to believe this","harm","6","5",6,"2",1,"No","No",7,8,1,1,1,7,1,1,1,7,8,1,8,7,2,1,1,8,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-99                                                                                                                                                                                                                                                           ","2270842,2270843,2270844,2270845,2270846,2270847,2270848,2270849,2270850,2270851,2270852,2270853,2270854,2270855,2270856,2270857,2270858,2270859,2270860,2270861,2270862,2270863,2270864,2270865,2270866,2270867,2270868,2270869,2270870,2270871,2270872,227087","Not flipped","Not flipped","HTML",NA,NA,"ea045550fe900bad0768932145fa610e                                                                                                ","English","Not cleaned",1496660151,"2017-06-05 10:55:51           ","2017-06-05 11:06:36           ","0000-00-00 00:00:00           ","cog_load",TRUE,FALSE,FALSE,FALSE,FALSE,5,0,"wrong","wrong","wrong","wrong",9,9,9,9,9,9,9,9,9,143,2.94444444444444,"wrong","true","false","false","false","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,3,"reasons",FALSE,"reasons","wrong","wrong"
97,35,0,"no tester","Suspended (22)","2270904                     ",NA,896,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Female",24,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","Just because someone isn't directly harmed as a result of the violation does not mean it is right. Doing harm to the environment isn't directly harming someone but if enough people did so it would effect everyone.                                         ","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",1,"quoted","not quoted","quoted","not quoted","quoted","not quoted","quoted","not quoted","not quoted","I don't believe brother and sister should have sex because if they weren't using contraceptives that could cause damage to a child that is conceived. There are enough other people in the world for them to have sex with and they went against morality just","harm mentioned","norms mentioned","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted",5,"No","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","The bible states that brother and sister should not lay in bed together like man and wife. There are laws set and they're meant to follow because there are negative effects that can arise out of it. Just because they used 2 types of contraceptive doesn't","reason",NA,"It's wrong and I can provide a valid reason.","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",1,"not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","1: Not at all",6,"neither difficult nor easy","No, I am not able to believe this","No, I am not able to believe this","harm","6","7: Extremely confused",6,"7: Extremely",1,"Yes","Yes",5,7,1,1,1,9,2,5,1,8,9,1,9,9,8,5,1,6,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-99                                                                                                                                                                                                                                                           ","2270842,2270843,2270844,2270845,2270846,2270847,2270848,2270849,2270850,2270851,2270852,2270853,2270854,2270855,2270856,2270857,2270858,2270859,2270860,2270861,2270862,2270863,2270864,2270865,2270866,2270867,2270868,2270869,2270870,2270871,2270872,227087","Not flipped","Not flipped","HTML",NA,NA,"53c3d705a4bb0a48484b93b106da3e61                                                                                                ","English","Not cleaned",1496624511,"2017-06-05 01:01:51           ","2017-06-05 01:17:02           ","0000-00-00 00:00:00           ","cog_load",TRUE,FALSE,TRUE,TRUE,TRUE,9,3,"wrong","wrong","wrong","wrong",9,9,9,8,5,9,9,5,9,142,2.88888888888889,"wrong","false","false","false","false","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,4,"reasons",TRUE,"reasons","wrong","wrong"
98,57,0,"no tester","Completed (31)","2270905                     ",NA,1413,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Female",35,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","Violating an established norm in any situation cannot be right. Thats why it is established.                                                                                                                                                                  ","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",1,"quoted","quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted","Brother and sister cannot have sex even such thoughts leave no meaning to the relation.                                                                                                                                                                       ","no harm mentioned","norms mentioned","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted",7,"No","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","The relationship they were born in prohibits any bodily relations or thoughts                                                                                                                                                                                 ","reason",NA,"It's wrong and I can provide a valid reason.","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","not quoted","not quoted",1,"not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","1: Not at all",7,"Difficult","No, I am not able to believe this","No, I am not able to believe this","harm","4: neutral","4: neutral",7,"7: Extremely",1,"No","No",4,6,4,4,4,4,4,4,4,6,6,4,4,5,5,4,4,4,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-99                                                                                                                                                                                                                                                           ","2270842,2270843,2270844,2270845,2270846,2270847,2270848,2270849,2270850,2270851,2270852,2270853,2270854,2270855,2270856,2270857,2270858,2270859,2270860,2270861,2270862,2270863,2270864,2270865,2270866,2270867,2270868,2270869,2270870,2270871,2270872,227087","Flipped","Flipped","HTML",NA,NA,"396f4f913e2757fe63f4af67cd301e7a                                                                                                ","English","Not cleaned",1496661129,"2017-06-05 11:12:09           ","2017-06-05 11:35:42           ","0000-00-00 00:00:00           ","cog_load",TRUE,FALSE,TRUE,FALSE,TRUE,8,2,"wrong","wrong","wrong","wrong",6,6,6,6,6,6,6,6,6,98,0.444444444444445,"wrong","true","false","false","false","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,3,"reasons",TRUE,"reasons","wrong","wrong"
99,4,0,"no tester","Completed (31)","2270905                     ",NA,840,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Male",37,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","Norms are more than simply preventing harm. Much of them are parts of institutional memory and continuity. Placing personal enjoyment or fun above the needs of institutional maintenance is inherently selfish.                                              ","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",1,"quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted","not quoted","Although it would appear that their behavior is limited merely to the two of them they are certainly going to give social cues about what they experienced. Their attitudes towards incest may even change towards support. As a result, other people in socie","harm mentioned","norms mentioned","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted",7,"No","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","No","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","There is no such thing as an action that has only personal consequences. We are, by nature, social creatures and everything we do influences and impacts those around us and that we will later encounter.                                                    ","reason",NA,"It's wrong and I can provide a valid reason.","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",1,"not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","1: Not at all",7,"Very easy","No, I am not able to believe this","No, I am not able to believe this","harm","1: Not at all","1: Not at all",7,"1: Not at all",4,"No","No",8,8,1,1,1,8,1,1,1,8,8,1,8,1,8,1,1,8,"Yes","I have a BA in Philosophy                                                                                                                                                                                                                                     ","no","-99                                                                                                                                                                                                                                                           ",0,"-99                                                                                                                                                                                                                                                           ","2270842,2270843,2270844,2270845,2270846,2270847,2270848,2270849,2270850,2270851,2270852,2270853,2270854,2270855,2270856,2270857,2270858,2270859,2270860,2270861,2270862,2270863,2270864,2270865,2270866,2270867,2270868,2270869,2270870,2270871,2270872,227087","Not flipped","Not flipped","HTML",NA,NA,"0a2a318a3ce98188ef052cdcdcc5d6f2                                                                                                ","English","Not cleaned",1496622362,"2017-06-05 00:26:02           ","2017-06-05 00:40:02           ","0000-00-00 00:00:00           ","cog_load",TRUE,TRUE,TRUE,TRUE,TRUE,9,4,"wrong","wrong","wrong","wrong",9,9,9,9,9,9,9,9,9,146,3.11111111111111,"neutral","true","false","false","false","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,6,"reasons",TRUE,"reasons","wrong","wrong"
100,60,0,"no tester","Suspended (22)","2270904                     ",NA,629,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Female",56,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","It's wrong because it changes who you are, degrades your moral value and your character.                                                                                                                                                                      ","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",1,"quoted","quoted","not quoted","not quoted","not quoted","not quoted","quoted","not quoted","quoted","Because it is morally wrong and destroys families.                                                                                                                                                                                                            ","harm mentioned","norms mentioned","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted",7,"No","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","No","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","Whether or not they used birth control does not guarantee a child won't be conceived.  Their behavior degrades families.                                                                                                                                      ","reason",NA,"It's wrong and I can provide a valid reason.","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",1,"not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","1: Not at all",7,"Difficult","No, I am not able to believe this","No, I am not able to believe this","harm","4: neutral","1: Not at all",5,"7: Extremely",1,"Yes","No",1,2,4,4,3,2,4,6,5,5,6,4,3,3,2,6,3,5,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-99                                                                                                                                                                                                                                                           ","2270842,2270843,2270844,2270845,2270846,2270847,2270848,2270849,2270850,2270851,2270852,2270853,2270854,2270855,2270856,2270857,2270858,2270859,2270860,2270861,2270862,2270863,2270864,2270865,2270866,2270867,2270868,2270869,2270870,2270871,2270872,227087","Not flipped","Not flipped","HTML",NA,NA,"155896c3ab3dd539327b3abbd12025f9                                                                                                ","English","Not cleaned",1496661413,"2017-06-05 11:16:53           ","2017-06-05 11:27:35           ","0000-00-00 00:00:00           ","cog_load",TRUE,FALSE,TRUE,TRUE,TRUE,9,3,"wrong","wrong","wrong","wrong",6,6,7,6,4,5,6,4,7,80,-0.555555555555555,"wrong","true","false","false","false","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,3,"reasons",TRUE,"reasons","wrong","wrong"
101,17,0,"no tester","Suspended (22)","2270904                     ",NA,747,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Female",38,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",1,"quoted","quoted","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted","I believe it is morally wrong because it is just a different type of bond that shouldn't involve sexual relations. They knew how wrong it was by the extra birth control they took.                                                                           ","no harm mentioned","norms mentioned","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted",5,"Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","as I previously stated it is wrong because human nature itself goes against incest and the birth defects that come along with producing a child of two parents with similar DNA. Under normal circumstances a brother-sister relationship wouldn't welcome a p","reason",NA,"It's wrong and I can provide a valid reason.","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","not quoted","not quoted",1,"not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","1: Not at all",5,"neither difficult nor easy","No, I am not able to believe this","No, I am not able to believe this","harm","5","4: neutral",5,"4: neutral",4,"No","No",6,7,4,4,4,6,5,6,6,7,8,3,6,7,7,4,5,9,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-99                                                                                                                                                                                                                                                           ","2270842,2270843,2270844,2270845,2270846,2270847,2270848,2270850,2270851,2270852,2270853,2270854,2270855,2270856,2270857,2270858,2270859,2270860,2270861,2270862,2270863,2270864,2270865,2270866,2270867,2270868,2270869,2270870,2270871,2270872,2270873,227087","Flipped","Not flipped","HTML",NA,NA,"d80a6bdcf9ca051a91531f3ed9c459f6                                                                                                ","English","Not cleaned",1496623100,"2017-06-05 00:38:20           ","2017-06-05 00:50:55           ","0000-00-00 00:00:00           ","cog_load",TRUE,FALSE,TRUE,FALSE,TRUE,8,2,"wrong","wrong","wrong","wrong",6,6,6,5,4,4,7,6,5,112,1.22222222222222,"neutral","true","true","true","false","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,4,"reasons",TRUE,"reasons","wrong","wrong"
102,9,0,"no tester","Completed (31)","2270905                     ",NA,887,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Female",25,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","even what a person is doing wether it was for fun or for whatsoever purposes in case it was already violating moral that is no good                                                                                                                           ","not quoted","not quoted","quoted","not quoted","quoted","not quoted","quoted","not quoted","not quoted",1,"not quoted","not quoted","quoted","not quoted","quoted","not quoted","quoted","not quoted","not quoted","because they are siblings and making love is just designed to those people who was bind by the word of God and not by just doing it for sake of curiosity and fun so i will judge that as morally wrong                                                       ","no harm mentioned","norms mentioned","not quoted","not quoted","quoted","not quoted","quoted","not quoted","quoted","not quoted","not quoted",7,"No","Yes","Yes, I have a reason","No","Yes","Yes, I have a reason","No","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","no matter how they defend that they both know and want what happened they are still both affected by the guilt every time they do it to their possible partners in the future and of course their parents would be affected as well                           ","reason",NA,"It's wrong and I can provide a valid reason.","not quoted","not quoted","quoted","not quoted","quoted","not quoted","quoted","not quoted","not quoted",1,"not quoted","not quoted","quoted","not quoted","quoted","not quoted","quoted","not quoted","not quoted","1: Not at all",7,"Extremely easy","No, I am not able to believe this","No, I am not able to believe this","harm","7: Extremely Irritated","1: Not at all",7,"1: Not at all",1,"No","No",6,3,6,5,3,9,5,5,6,5,3,5,6,4,4,6,4,4,"Yes","ethics and philisophy                                                                                                                                                                                                                                         ","no","-99                                                                                                                                                                                                                                                           ",0,"-99                                                                                                                                                                                                                                                           ","2270842,2270843,2270844,2270845,2270846,2270847,2270848,2270849,2270850,2270851,2270852,2270853,2270854,2270855,2270856,2270857,2270858,2270859,2270860,2270861,2270862,2270863,2270864,2270865,2270866,2270867,2270868,2270869,2270870,2270871,2270872,227087","Flipped","Not flipped","HTML",NA,NA,"faf62eac5914bf84725b70615c18fe6b                                                                                                ","English","Not cleaned",1496622587,"2017-06-05 00:29:47           ","2017-06-05 00:44:34           ","0000-00-00 00:00:00           ","cog_load",FALSE,FALSE,FALSE,FALSE,FALSE,6,0,"wrong","wrong","wrong","wrong",4,5,7,5,5,4,5,4,6,89,-0.0555555555555554,"wrong","true","false","false","false","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,7,"reasons",FALSE,"reasons","wrong","wrong"
103,46,0,"no tester","Completed (31)","2184763                     ",NA,375,NA,NA,"Yes","Male",39,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Having sex like they did in my opinion is not morally wrong or right.                                                                                                                                                                                         ","no harm mentioned","norms not mentioned",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Yes","No","Unsure","Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1: Not at all",6,NA,"Yes, I am able to believe this","Yes, I am able to believe this","no harm","1: Not at all","1: Not at all",5,"3",4,"No","No",2,3,7,7,6,3,6,7,7,3,3,6,1,6,3,7,6,2,"Yes","I took an ethics class in college.                                                                                                                                                                                                                            ","no","-99                                                                                                                                                                                                                                                           ",0,"-66                                                                                                                                                                                                                                                           ","2184718,2184719,2184720,2184721,2184722,2184723,2184724,2184726,2184727,2184728,2184729,2184730,2184731,2184732,2184733,2184734,2184735,2184736,2184737,2184738,2184739,2184740,2184741,2184742,2184743,2184745,2184746,2184747,2184748,2184749,2184750,218475","Not flipped","Not flipped","HTML",NA,NA,"2192a81283c7d459a4aa208ce3bb2d82                                                                                                ","English","Not cleaned",1493164562,"2017-04-25 23:56:02           ","2017-04-26 00:02:17           ","0000-00-00 00:00:00           ","control",NA,NA,NA,NA,NA,NA,NA,"neutral","neutral","not wrong","not wrong",3,3,4,4,3,3,4,3,4,57,-1.83333333333333,"neutral","true","true","true","true","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,1,FALSE,0,"unstated","unstated","reason","reason","unstated","unstated","no reason","reason","reason",FALSE,NA,"nothing wrong",TRUE,"nothing wrong",NA,NA
